record_id,first_name,last_name,ssn,gender,dob,pt_age,imported_age,pt_pcp,ethnicity,rural,educ_level,height,weight,bmi,airway_disease___1,airway_disease___2,airway_disease___3,environ_exp___1,environ_exp___2,environ_exp___3,environ_exp___4,oth_enviorn_exp,cancer_hx,cancer_type,fam_hx,smoking_history,year_quit,quit_smoking,smoking_per_day,smoked_years,pack_years,elig_enroll,failed_enroll,failed_other,tobacco_cessation_referral,referral_type,other_referral_type,smoking_cessation_not,patient_notes,consult,age,sdm_visit_date,sdm___1,sdm___2,sdm___3,base_order_date,base_schedule,base_completion_date,ldct_no_show_base
1,Mac,McDonald,4958,1,6/15/1948,72.1,70,Keenan,2,0,,69,262,38.7,1,1,0,0,0,0,0,,1,,1,1,,,40,59,100,1,,,2,,,Declined smoking cessation support,2s-pcp notified,8/3/2018,70.1,8/27/2018,1,0,0,8/27/2018,,8/27/2018,
2,Dennis,Reynolds,8660,1,5/22/1943,77,75,Devalaraju,2,0,,71,218,30.4,0,0,0,0,0,0,0,,2,prostate,1,1,,,10,51,30,1,,,2,,,"no, brochure provided  PCP provided NRT patches",,12/16/2018,75.5,1/15/2019,1,0,0,1/15/2019,,1/15/2019,
3,Charlie,Kelly,3690,1,11/29/1956,63.4,61,Verderame,2,0,,74,160,20.5,0,1,0,0,0,0,0,,1,,1,1,,,20,30,30,1,,,2,,,Using NRT patches,,9/20/2018,61.8,10/14/2018,1,0,0,10/14/2018,10/14/2018,10/28/2018,
4,Frank,Reynolds,9914,1,5/3/1956,64.8,,Bevelock,2,,,67,234,36.6,1,0,0,0,0,0,0,,1,,1,1,,,20,30,30,1,,,2,,,discussed cessation,,1/6/2019,62.6,1/13/2019,1,0,0,1/13/2019,1/13/2019,1/13/2019,
5,Sweet,Dee,202,2,8/3/1959,61.4,,Verderame,2,0,,71,234,32.6,0,0,0,0,0,0,0,,1,,1,1,,,20,41,41,1,,,2,,,"yes, NRT patch ordered",,11/24/2018,59.3,12/4/2018,1,0,0,12/4/2018,,12/4/2018,
6,Liam,McPoyle,1970,1,1/19/1956,64.6,,Bevelock,2,0,,75,207,25.9,1,1,0,0,0,0,0,,2,Thyroid,1,1,,,20,45,40,,,,2,,,Given NRT patch/gum by PCP,thyroid nod bx 4/15/19-->thyroid ca,8/23/2018,62.5,9/8/2018,0,0,0,9/8/2018,,9/8/2018,
7,Gail,Snail,314,2,9/1/1949,70.8,,Verderame,2,0,,77,250,29.6,0,1,0,0,0,0,0,,1,,1,1,,,20,50,50,,,,2,,,Taking varenicline,added PCP; interested Chantix,1/2/2019,69.3,7/7/2019,1,0,0,7/7/2019,7/7/2019,7/21/2019,
8,Bruce,Mathis,7991,1,10/9/1941,79.2,,Bevelock,2,0,,71,204,28.4,0,1,0,0,0,0,0,,1,,1,2,10/10/2014,6.3,20,58,58,,,,,,,,,12/19/2018,77.1,12/29/2018,1,0,0,12/29/2018,,12/29/2018,
9,Ruby,Taft,1589,2,5/11/1962,58.2,56,Jones,2,0,,71,191,26.6,0,1,0,0,0,0,0,,1,,1,1,,,40,>15 yrs,>30,1,,,,,,nrt ordered 4/15/19,"Returning for scan, resched x 2",1/9/2019,56.6,1/9/2019,0,0,0,1/9/2019,,2/11/2019,
10,Bastet,Ponderosa,4914,1,5/13/1956,64.6,62,Trivedi,2,0,,75,259,32.4,0,0,0,0,0,0,0,,1,,,1,,,,,30,1,,,,,,working w PCP; desires Chantix,,1/21/2019,62.6,1/22/2019,1,0,0,1/22/2019,,1/21/2019,
