FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
1	CT study date	cedos	text	1			CT study date
2	Signing radiologist	cerads	select-one	0			Signing radiologist
3	Radiologist	cerad	text	1			Radiologist
4	Clinical information	ceclin	textarea	0			Clinical information
5	Include in impression	ceclini	checkbox	0		y	Include in impression
6	CT scan performed at outside institution	ceofr	checkbox	0		y	CT scan performed at outside institution
7	Type of inspection	cetex	radio	0		b;a;d	Baseline;Annual repeat;Follow-up (not annual repeat)
8	CT protocol	cectp	radio	0		l;d;i	Low-Dose CT;Standard CT;Limited CT
9	Reconstructed slice thickness (mm)	cectrst	select-one	1		;0.5;0.625;0.75;0.8;1.0;o	-;0.5;0.625;0.75;0.8;1.0;Other
10	Specify Reconstructed slice thickness (mm)	cectrsto	text	1			specify
11	CDTI (vol)	cectcdti	text	0			CDTI (vol)
12	DLP	cectdlp	text	0			DLP
13	Size-specific dose estimates (SSDE)	cectssde	text	0			Size-specific dose estimates (SSDE)
14	Baseline CT date	sidoe	text	0			Baseline CT
15	Most recent comparision study date	cedcs	text	0			Most recent comparative study
16	Prior scans 	cedps	text	1			Prior scans button
17	Is it a new nodule?  Nodule 1	cect1ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
18	Is it a new nodule?  Nodule 2	cect2ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
19	Is it a new nodule?  Nodule 3	cect3ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
20	Is it a new nodule?  Nodule 4	cect4ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
21	Is it a new nodule?  Nodule 5	cect5ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
22	Is it a new nodule?  Nodule 6	cect6ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
23	Is it a new nodule?  Nodule 7	cect7ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
24	Is it a new nodule?  Nodule 8	cect8ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
25	Is it a new nodule?  Nodule 9	cect9ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
26	Is it a new nodule?  Nodule 10	cect10ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan
27	Endobronchial? Nodule 1	cect1en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
28	Endobronchial? Nodule 2	cect2en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
29	Endobronchial? Nodule 3	cect3en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
30	Endobronchial? Nodule 4	cect4en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
31	Endobronchial? Nodule 5	cect5en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
32	Endobronchial? Nodule 6	cect6en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
33	Endobronchial? Nodule 7	cect7en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
34	Endobronchial? Nodule 8	cect8en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
35	Endobronchial? Nodule 9	cect9en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
36	Endobronchial? Nodule 10	cect10en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
37	Most likely location? Nodule 1	cect1ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
38	Most likely location? Nodule 2	cect2ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
39	Most likely location? Nodule 3	cect3ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
40	Most likely location? Nodule 4	cect4ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
41	Most likely location? Nodule 5	cect5ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
42	Most likely location? Nodule 6	cect6ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
43	Most likely location? Nodule 7	cect7ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
44	Most likely location? Nodule 8	cect8ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
45	Most likely location? Nodule 9	cect9ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
46	Most likely location? Nodule 10	cect10ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
47	CT Series Number Nodule 1	cect1sn	text	1			CT Series Number
48	CT Series Number Nodule 2	cect2sn	text	1			CT Series Number
49	CT Series Number Nodule 3	cect3sn	text	1			CT Series Number
50	CT Series Number Nodule 4	cect4sn	text	1			CT Series Number
51	CT Series Number Nodule 5	cect5sn	text	1			CT Series Number
52	CT Series Number Nodule 6	cect6sn	text	1			CT Series Number
53	CT Series Number Nodule 7	cect7sn	text	1			CT Series Number
54	CT Series Number Nodule 8	cect8sn	text	1			CT Series Number
55	CT Series Number Nodule 9	cect9sn	text	1			CT Series Number
56	CT Series Number Nodule 10	cect10sn	text	1			CT Series Number
57	Nodule seen in images CT number LOW Nodule 1	cect1inl	text	1			CT Image Number (Low)
58	Nodule seen in images CT number HIGH Nodule 1	cect1inh	text	1			CT Image Number (High)
59	Nodule seen in images CT number LOW Nodule 2	cect2inl	text	1			CT Image Number (Low)
60	Nodule seen in images CT number HIGH Nodule 2	cect2inh	text	1			CT Image Number (High)
61	Nodule seen in images CT number LOW Nodule 3	cect3inl	text	1			CT Image Number (Low)
62	Nodule seen in images CT number HIGH Nodule 3	cect3inh	text	1			CT Image Number (High)
63	Nodule seen in images CT number LOW Nodule 4	cect4inl	text	1			CT Image Number (Low)
64	Nodule seen in images CT number HIGH Nodule 4	cect4inh	text	1			CT Image Number (High)
65	Nodule seen in images CT number LOW Nodule 5	cect5inl	text	1			CT Image Number (Low)
66	Nodule seen in images CT number HIGH Nodule 5	cect5inh	text	1			CT Image Number (High)
67	Nodule seen in images CT number LOW Nodule 6	cect6inl	text	1			CT Image Number (Low)
68	Nodule seen in images CT number HIGH Nodule 6	cect6inh	text	1			CT Image Number (High)
69	Nodule seen in images CT number LOW Nodule 7	cect7inl	text	1			CT Image Number (Low)
70	Nodule seen in images CT number HIGH Nodule 7	cect7inh	text	1			CT Image Number (High)
71	Nodule seen in images CT number LOW Nodule 8	cect8inl	text	1			CT Image Number (Low)
72	Nodule seen in images CT number HIGH Nodule 8	cect8inh	text	1			CT Image Number (High)
73	Nodule seen in images CT number LOW Nodule 9	cect9inl	text	1			CT Image Number (Low)
74	Nodule seen in images CT number HIGH Nodule 9	cect9inh	text	1			CT Image Number (High)
75	Nodule seen in images CT number LOW Nodule 10	cect10inl	text	1			CT Image Number (Low)
76	Nodule seen in images CT number HIGH Nodule 10	cect10inh	text	1			CT Image Number (High)
77	Nodule status Nodule 1	cect1st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign
78	Nodule status Nodule 2	cect2st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign
